,0,1
0,1-1-A-j18-1,S-Bahn
1,1-1-B-j18-1,Intercity
2,1-1-C-j18-1,S-Bahn
3,4-1-j18-1,S-Bahn
4,6-1-B-j18-1,Intercity
5,6-1-j18-1,S-Bahn
6,8-1-j18-1,S-Bahn
7,11-1-C-j18-1,S-Bahn
8,12-1-j18-1,S-Bahn
9,16-1-A-j18-1,Intercity
10,16-1-j18-1,S-Bahn
11,23-1-j18-1,S-Bahn
12,25-1-j18-1,S-Bahn
13,26-1-A-j18-1,S-Bahn
14,26-1-j18-1,Intercity
15,79-1-C-j18-1,S-Bahn
16,79-1-D-j18-1,S-Bahn
17,20-10-j18-1,S-Bahn
18,21-10-j18-1,S-Bahn
19,26-10-j18-1,S-Bahn
20,79-10-j18-1,S-Bahn
21,80-100-j18-1,RegioExpress
22,66-100-Y-j18-1,Regionalzug
23,80-100-Y-j18-1,RegioExpress
24,66-101-Y-j18-1,Regionalzug
25,80-101-Y-j18-1,RegioExpress
26,66-102-Y-j18-1,Regionalzug
27,80-102-Y-j18-1,RegioExpress
28,66-103-Y-j18-1,Regionalzug
29,80-103-Y-j18-1,RegioExpress
30,66-104-Y-j18-1,Regionalzug
31,80-104-Y-j18-1,RegioExpress
32,66-105-Y-j18-1,Regionalzug
33,80-105-Y-j18-1,RegioExpress
34,66-106-Y-j18-1,Regionalzug
35,80-106-Y-j18-1,RegioExpress
36,66-107-Y-j18-1,Regionalzug
37,80-107-Y-j18-1,RegioExpress
38,66-108-Y-j18-1,Regionalzug
39,80-108-Y-j18-1,RegioExpress
40,66-109-Y-j18-1,Regionalzug
41,80-109-Y-j18-1,RegioExpress
42,40-10-Y-j18-1,Eurocity
43,42-10-Y-j18-1,Intercity
44,59-10-Y-j18-1,InterRegio
45,66-10-Y-j18-1,Regionalzug
46,68-10-Y-j18-1,S-Bahn
47,69-10-Y-j18-1,S-Bahn
48,72-10-Y-j18-1,S-Bahn
49,76-10-Y-j18-1,Schnellzug
50,78-10-Y-j18-1,RegioExpress
51,79-10-Y-j18-1,RegioExpress
52,80-10-Y-j18-1,RegioExpress
53,16-11-j18-1,S-Bahn
54,20-11-j18-1,S-Bahn
55,26-11-j18-1,S-Bahn
56,66-110-Y-j18-1,Regionalzug
57,80-110-Y-j18-1,RegioExpress
58,66-111-Y-j18-1,Regionalzug
59,80-111-Y-j18-1,RegioExpress
60,66-112-Y-j18-1,Regionalzug
61,80-112-Y-j18-1,RegioExpress
62,66-113-Y-j18-1,Regionalzug
63,80-113-Y-j18-1,RegioExpress
64,66-114-Y-j18-1,Regionalzug
65,80-114-Y-j18-1,RegioExpress
66,66-115-Y-j18-1,Regionalzug
67,80-115-Y-j18-1,RegioExpress
68,66-116-Y-j18-1,Regionalzug
69,80-116-Y-j18-1,RegioExpress
70,66-117-Y-j18-1,Regionalzug
71,80-117-Y-j18-1,RegioExpress
72,66-118-Y-j18-1,Regionalzug
73,80-118-Y-j18-1,RegioExpress
74,66-119-Y-j18-1,Regionalzug
75,80-119-Y-j18-1,RegioExpress
76,40-11-Y-j18-1,Eurocity
77,42-11-Y-j18-1,Intercity
78,59-11-Y-j18-1,InterRegio
79,66-11-Y-j18-1,Regionalzug
80,68-11-Y-j18-1,S-Bahn
81,69-11-Y-j18-1,S-Bahn
82,72-11-Y-j18-1,S-Bahn
83,76-11-Y-j18-1,Schnellzug
84,78-11-Y-j18-1,RegioExpress
85,79-11-Y-j18-1,RegioExpress
86,80-11-Y-j18-1,RegioExpress
87,11-12-B-j18-1,S-Bahn
88,26-12-j18-1,S-Bahn
89,66-120-j18-1,Regionalzug
90,66-120-Y-j18-1,Regionalzug
91,80-120-Y-j18-1,RegioExpress
92,66-121-Y-j18-1,Regionalzug
93,80-121-Y-j18-1,RegioExpress
94,66-122-Y-j18-1,Regionalzug
95,80-122-Y-j18-1,RegioExpress
96,66-123-Y-j18-1,Regionalzug
97,80-123-Y-j18-1,RegioExpress
98,66-124-Y-j18-1,Regionalzug
99,80-124-Y-j18-1,RegioExpress
100,66-125-Y-j18-1,Regionalzug
101,80-125-Y-j18-1,RegioExpress
102,66-126-Y-j18-1,Regionalzug
103,80-126-Y-j18-1,RegioExpress
104,66-127-Y-j18-1,Regionalzug
105,80-127-Y-j18-1,RegioExpress
106,66-128-Y-j18-1,Regionalzug
107,80-128-Y-j18-1,RegioExpress
108,66-129-Y-j18-1,Regionalzug
109,80-129-Y-j18-1,RegioExpress
110,40-12-Y-j18-1,Eurocity
111,42-12-Y-j18-1,Intercity
112,59-12-Y-j18-1,InterRegio
113,66-12-Y-j18-1,Regionalzug
114,68-12-Y-j18-1,S-Bahn
115,69-12-Y-j18-1,S-Bahn
116,76-12-Y-j18-1,Schnellzug
117,78-12-Y-j18-1,RegioExpress
118,79-12-Y-j18-1,RegioExpress
119,80-12-Y-j18-1,RegioExpress
120,26-13-j18-1,S-Bahn
121,66-130-j18-1,Regionalzug
122,66-130-Y-j18-1,Regionalzug
123,80-130-Y-j18-1,RegioExpress
124,66-131-Y-j18-1,Regionalzug
125,80-131-Y-j18-1,RegioExpress
126,66-132-Y-j18-1,Regionalzug
127,80-132-Y-j18-1,RegioExpress
128,66-133-Y-j18-1,Regionalzug
129,80-133-Y-j18-1,RegioExpress
130,66-134-Y-j18-1,Regionalzug
131,80-134-Y-j18-1,RegioExpress
132,66-135-Y-j18-1,Regionalzug
133,80-135-Y-j18-1,RegioExpress
134,66-136-Y-j18-1,Regionalzug
135,80-136-Y-j18-1,RegioExpress
136,66-137-Y-j18-1,Regionalzug
137,66-138-Y-j18-1,Regionalzug
138,66-139-Y-j18-1,Regionalzug
139,40-13-Y-j18-1,Eurocity
140,59-13-Y-j18-1,InterRegio
141,66-13-Y-j18-1,Regionalzug
142,68-13-Y-j18-1,S-Bahn
143,69-13-Y-j18-1,S-Bahn
144,76-13-Y-j18-1,Schnellzug
145,78-13-Y-j18-1,RegioExpress
146,79-13-Y-j18-1,RegioExpress
147,80-13-Y-j18-1,RegioExpress
148,1-14-j18-1,S-Bahn
149,21-14-j18-1,S-Bahn
150,26-14-j18-1,S-Bahn
151,66-140-Y-j18-1,Regionalzug
152,66-141-Y-j18-1,Regionalzug
153,66-142-Y-j18-1,Regionalzug
154,66-143-Y-j18-1,Regionalzug
155,66-144-Y-j18-1,Regionalzug
156,66-145-Y-j18-1,Regionalzug
157,66-146-Y-j18-1,Regionalzug
158,66-147-Y-j18-1,Regionalzug
159,66-148-Y-j18-1,Regionalzug
160,66-149-Y-j18-1,Regionalzug
161,40-14-Y-j18-1,Eurocity
162,59-14-Y-j18-1,InterRegio
163,66-14-Y-j18-1,Regionalzug
164,68-14-Y-j18-1,S-Bahn
165,69-14-Y-j18-1,S-Bahn
166,76-14-Y-j18-1,Schnellzug
167,78-14-Y-j18-1,RegioExpress
168,79-14-Y-j18-1,RegioExpress
169,80-14-Y-j18-1,RegioExpress
170,6-15-j18-1,InterRegio
171,8-15-j18-1,InterRegio
172,21-15-j18-1,S-Bahn
173,23-15-j18-1,InterRegio
174,26-15-j18-1,S-Bahn
175,80-150-j18-1,RegioExpress
176,66-150-Y-j18-1,Regionalzug
177,66-151-Y-j18-1,Regionalzug
178,66-152-Y-j18-1,Regionalzug
179,66-153-Y-j18-1,Regionalzug
180,66-154-Y-j18-1,Regionalzug
181,66-155-Y-j18-1,Regionalzug
182,23-156-j18-1,Regionalzug
183,66-156-Y-j18-1,Regionalzug
184,66-157-Y-j18-1,Regionalzug
185,66-158-Y-j18-1,Regionalzug
186,66-159-Y-j18-1,Regionalzug
187,40-15-Y-j18-1,Eurocity
188,59-15-Y-j18-1,InterRegio
189,66-15-Y-j18-1,Regionalzug
190,68-15-Y-j18-1,S-Bahn
191,69-15-Y-j18-1,S-Bahn
192,76-15-Y-j18-1,Schnellzug
193,78-15-Y-j18-1,RegioExpress
194,79-15-Y-j18-1,RegioExpress
195,80-15-Y-j18-1,RegioExpress
196,1-16-j18-1,InterRegio
197,26-16-j18-1,S-Bahn
198,66-160-Y-j18-1,Regionalzug
199,66-161-Y-j18-1,Regionalzug
200,66-162-Y-j18-1,Regionalzug
201,66-163-Y-j18-1,Regionalzug
202,66-164-Y-j18-1,Regionalzug
203,66-165-Y-j18-1,Regionalzug
204,66-166-Y-j18-1,Regionalzug
205,66-167-Y-j18-1,Regionalzug
206,66-168-Y-j18-1,Regionalzug
207,40-16-Y-j18-1,Eurocity
208,59-16-Y-j18-1,InterRegio
209,66-16-Y-j18-1,Regionalzug
210,68-16-Y-j18-1,S-Bahn
211,69-16-Y-j18-1,S-Bahn
212,79-16-Y-j18-1,RegioExpress
213,80-16-Y-j18-1,RegioExpress
214,1-17-j18-1,S-Bahn
215,6-17-j18-1,InterRegio
216,40-17-Y-j18-1,Eurocity
217,59-17-Y-j18-1,InterRegio
218,66-17-Y-j18-1,Regionalzug
219,68-17-Y-j18-1,S-Bahn
220,69-17-Y-j18-1,S-Bahn
221,79-17-Y-j18-1,RegioExpress
222,80-17-Y-j18-1,RegioExpress
223,26-18-A-j18-1,S-Bahn
224,26-18-j18-1,S-Bahn
225,79-18-j18-1,S-Bahn
226,26-18S-j18-1,S-Bahn
227,40-18-Y-j18-1,Eurocity
228,59-18-Y-j18-1,InterRegio
229,66-18-Y-j18-1,Regionalzug
230,68-18-Y-j18-1,S-Bahn
231,79-18-Y-j18-1,RegioExpress
232,80-18-Y-j18-1,RegioExpress
233,26-19-j18-1,S-Bahn
234,40-19-Y-j18-1,Eurocity
235,59-19-Y-j18-1,InterRegio
236,66-19-Y-j18-1,Regionalzug
237,68-19-Y-j18-1,S-Bahn
238,79-19-Y-j18-1,RegioExpress
239,80-19-Y-j18-1,RegioExpress
240,40-1-Y-j18-1,Eurocity
241,42-1-Y-j18-1,Intercity
242,54-1-Y-j18-1,ICE
243,56-1-Y-j18-1,Railjet
244,57-1-Y-j18-1,TGV
245,59-1-Y-j18-1,InterRegio
246,60-1-Y-j18-1,InterRegio
247,63-1-Y-j18-1,Extrazug
248,64-1-Y-j18-1,Extrazug
249,66-1-Y-j18-1,Regionalzug
250,68-1-Y-j18-1,S-Bahn
251,69-1-Y-j18-1,S-Bahn
252,72-1-Y-j18-1,S-Bahn
253,74-1-Y-j18-1,RegioExpress
254,76-1-Y-j18-1,Schnellzug
255,77-1-Y-j18-1,RegioExpress
256,78-1-Y-j18-1,RegioExpress
257,79-1-Y-j18-1,RegioExpress
258,80-1-Y-j18-1,RegioExpress
259,81-1-Y-j18-1,RegioExpress
260,6-2-j18-1,S-Bahn
261,11-2-B-j18-1,S-Bahn
262,16-2-j18-1,S-Bahn
263,18-2-j18-1,S-Bahn
264,20-2-B-j18-1,Intercity
265,22-2-j18-1,S-Bahn
266,23-2-j18-1,S-Bahn
267,25-2-j18-1,S-Bahn
268,26-2-j18-1,S-Bahn
269,79-2-C-j18-1,S-Bahn
270,8-20-j18-1,S-Bahn
271,20-20-j18-1,S-Bahn
272,40-20-Y-j18-1,Eurocity
273,59-20-Y-j18-1,InterRegio
274,66-20-Y-j18-1,Regionalzug
275,68-20-Y-j18-1,S-Bahn
276,79-20-Y-j18-1,RegioExpress
277,80-20-Y-j18-1,RegioExpress
278,2-21-j18-1,S-Bahn
279,8-21-j18-1,S-Bahn
280,20-21-j18-1,Intercity
281,26-21-j18-1,S-Bahn
282,59-21-Y-j18-1,InterRegio
283,66-21-Y-j18-1,Regionalzug
284,68-21-Y-j18-1,S-Bahn
285,79-21-Y-j18-1,RegioExpress
286,80-21-Y-j18-1,RegioExpress
287,2-22-j18-1,S-Bahn
288,3-22-j18-1,S-Bahn
289,17-22-j18-1,S-Bahn
290,26-22-j18-1,S-Bahn
291,79-22-j18-1,S-Bahn
292,59-22-Y-j18-1,InterRegio
293,66-22-Y-j18-1,Regionalzug
294,68-22-Y-j18-1,S-Bahn
295,79-22-Y-j18-1,RegioExpress
296,80-22-Y-j18-1,RegioExpress
297,1-23-j18-1,S-Bahn
298,2-23-j18-1,S-Bahn
299,3-23-j18-1,S-Bahn
300,19-23-j18-1,S-Bahn
301,21-23-j18-1,S-Bahn
302,26-23-j18-1,S-Bahn
303,59-23-Y-j18-1,InterRegio
304,66-23-Y-j18-1,Regionalzug
305,68-23-Y-j18-1,S-Bahn
306,79-23-Y-j18-1,RegioExpress
307,80-23-Y-j18-1,RegioExpress
308,17-24-A-j18-1,S-Bahn
309,17-24-j18-1,S-Bahn
310,26-24-j18-1,S-Bahn
311,79-24-j18-1,S-Bahn
312,80-240-j18-1,RegioExpress
313,66-24-Y-j18-1,Regionalzug
314,68-24-Y-j18-1,S-Bahn
315,79-24-Y-j18-1,RegioExpress
316,80-24-Y-j18-1,RegioExpress
317,1-25-j18-1,S-Bahn
318,2-25-j18-1,S-Bahn
319,10-25-j18-1,S-Bahn
320,26-25-A-j18-1,S-Bahn
321,66-25-Y-j18-1,Regionalzug
322,68-25-Y-j18-1,S-Bahn
323,79-25-Y-j18-1,RegioExpress
324,80-25-Y-j18-1,RegioExpress
325,1-26-j18-1,S-Bahn
326,2-26-j18-1,S-Bahn
327,5-26-j18-1,InterRegio
328,18-26-j18-1,InterRegio
329,22-26-j18-1,InterRegio
330,26-26-j18-1,S-Bahn
331,66-26-Y-j18-1,Regionalzug
332,68-26-Y-j18-1,S-Bahn
333,79-26-Y-j18-1,RegioExpress
334,80-26-Y-j18-1,RegioExpress
335,1-27-j18-1,S-Bahn
336,4-27-j18-1,InterRegio
337,10-27-j18-1,S-Bahn
338,12-27-j18-1,InterRegio
339,79-27-j18-1,S-Bahn
340,66-27-Y-j18-1,Regionalzug
341,68-27-Y-j18-1,S-Bahn
342,79-27-Y-j18-1,RegioExpress
343,80-27-Y-j18-1,RegioExpress
344,1-28-j18-1,S-Bahn
345,66-28-Y-j18-1,Regionalzug
346,68-28-Y-j18-1,S-Bahn
347,79-28-Y-j18-1,RegioExpress
348,80-28-Y-j18-1,RegioExpress
349,1-29-j18-1,S-Bahn
350,26-29-j18-1,S-Bahn
351,66-29-Y-j18-1,Regionalzug
352,68-29-Y-j18-1,S-Bahn
353,79-29-Y-j18-1,RegioExpress
354,80-29-Y-j18-1,RegioExpress
355,40-2-Y-j18-1,Eurocity
356,42-2-Y-j18-1,Intercity
357,54-2-Y-j18-1,ICE
358,56-2-Y-j18-1,Railjet
359,57-2-Y-j18-1,TGV
360,59-2-Y-j18-1,InterRegio
361,60-2-Y-j18-1,InterRegio
362,63-2-Y-j18-1,Extrazug
363,64-2-Y-j18-1,Extrazug
364,66-2-Y-j18-1,Regionalzug
365,68-2-Y-j18-1,S-Bahn
366,69-2-Y-j18-1,S-Bahn
367,72-2-Y-j18-1,S-Bahn
368,74-2-Y-j18-1,RegioExpress
369,76-2-Y-j18-1,Schnellzug
370,77-2-Y-j18-1,RegioExpress
371,78-2-Y-j18-1,RegioExpress
372,79-2-Y-j18-1,RegioExpress
373,80-2-Y-j18-1,RegioExpress
374,81-2-Y-j18-1,RegioExpress
375,1-3-A-j18-1,S-Bahn
376,4-3-j18-1,S-Bahn
377,5-3-j18-1,Intercity
378,6-3-j18-1,S-Bahn
379,7-3-j18-1,S-Bahn
380,11-3-B-j18-1,Intercity
381,16-3-j18-1,S-Bahn
382,18-3-j18-1,S-Bahn
383,23-3-j18-1,S-Bahn
384,26-3-A-j18-1,S-Bahn
385,26-3-j18-1,S-Bahn
386,79-3-D-j18-1,S-Bahn
387,8-30-j18-1,S-Bahn
388,20-30-j18-1,S-Bahn
389,21-30-j18-1,S-Bahn
390,79-30-j18-1,S-Bahn
391,80-300-j18-1,RegioExpress
392,66-30-Y-j18-1,Regionalzug
393,68-30-Y-j18-1,S-Bahn
394,79-30-Y-j18-1,RegioExpress
395,80-30-Y-j18-1,RegioExpress
396,6-31-j18-1,S-Bahn
397,18-31-A-j18-1,S-Bahn
398,23-31-j18-1,S-Bahn
399,66-31-Y-j18-1,Regionalzug
400,68-31-Y-j18-1,S-Bahn
401,79-31-Y-j18-1,RegioExpress
402,80-31-Y-j18-1,RegioExpress
